菊花,天门冬,3,1,2,2,0.816496581,,,
赤茯苓,柴胡,3,2,4,3,0.816496581,,,
生甘草,丁香,3,2,4,3,0.816496581,,,
沙参,芒消,2,3,1,2,0.816496581,,,
白芍药,泽泻,3,4,2,3,0.816496581,,,
吴茱萸,五加皮,2,3,1,2,0.816496581,,,
红花,紫菀,3,1,2,2,0.816496581,,,
天门冬,柏子仁,4,3,2,3,0.816496581,,,
大枣,地榆,1,3,2,2,0.816496581,,,
紫菀,木香,1,2,3,2,0.816496581,,,
蔓荆子,川芎,2,3,4,3,0.816496581,,,
丁香,远志,3,4,2,3,0.816496581,,,
麦冬,石菖蒲,3,1,2,2,0.816496581,,,
枳壳,鳖甲,3,2,1,2,0.816496581,,,
槟榔,天门冬,1,3,2,2,0.816496581,,,
大腹皮,牛蒡子,3,3,1,2.333333333,0.942809042,,,
贝母,山茱萸,2,2,4,2.666666667,0.942809042,,,
神曲,牡蛎,1,3,1,1.666666667,0.942809042,,,
牡蛎,威灵仙,1,1,3,1.666666667,0.942809042,,,
大腹皮,大黄,2,4,4,3.333333333,0.942809042,,,
官桂,茴香,3,3,5,3.666666667,0.942809042,,,
泽泻,苍术,2,4,2,2.666666667,0.942809042,,,
川乌头,乌药,2,4,2,2.666666667,0.942809042,,,
川乌,泽泻,1,3,1,1.666666667,0.942809042,,,
秦艽,白术,1,3,3,2.333333333,0.942809042,,,
紫苏,大腹皮,2,2,4,2.666666667,0.942809042,,,
天门冬,炙草,3,1,3,2.333333333,0.942809042,,,
吴茱萸,泽泻,2,4,4,3.333333333,0.942809042,,,
川乌,酸枣仁,1,3,1,1.666666667,0.942809042,,,
肉苁蓉,大黄,1,3,4,2.666666667,1.247219129,,,
防己,藿香,1,4,2,2.333333333,1.247219129,,,
菖蒲,天门冬,4,1,2,2.333333333,1.247219129,,,
天花粉,厚朴,1,4,2,2.333333333,1.247219129,,,
炙草,血竭,1,3,4,2.666666667,1.247219129,,,
款冬花,沙参,2,1,4,2.333333333,1.247219129,,,
石斛,知母,4,2,5,3.666666667,1.247219129,,,
天南星,黄芩,1,4,3,2.666666667,1.247219129,,,
五味子,知母,4,1,3,2.666666667,1.247219129,,,
